ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
35,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:2489(__init__)
3,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/utils/generic.py:359(__post_init__)
39,0.000,0.000,0.000,0.000,{built-in method torch.dropout}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/text_classification.py:189(postprocess)
3,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/modules/sparse.py:162(forward)
13,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:2865(replace)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/base.py:1056(<dictcomp>)
3,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/nn/functional.py:2154(embedding)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/tokenization_utils_base.py:204(__init__)
3,0.000,0.000,0.000,0.000,{built-in method torch.embedding}
13,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/inspect.py:493(unwrap)
52,0.000,0.000,0.000,0.000,{method 'size' of 'torch._C.TensorBase' objects}
2,0.000,0.000,0.000,0.000,{built-in method builtins.next}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/tokenization_utils_base.py:681(convert_to_tensors)
2,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/base.py:1004(device_placement)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/pipelines/base.py:1051(<dictcomp>)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/contextlib.py:108(__enter__)
39,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/_VF.py:26(__getattr__)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/osome-csdl-ranking-challenge/libs/osomerank/elicited_response.py:59(clean_text)
12,0.000,0.000,0.000,0.000,{method 'transpose' of 'torch._C.TensorBase' objects}
36,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/enum.py:313(__call__)
1,0.000,0.000,0.000,0.000,<string>:2(__init__)
164,0.000,0.000,0.000,0.000,{built-in method builtins.isinstance}
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/cuda/__init__.py:360(__init__)
2,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/transformers/tokenization_utils_base.py:718(as_tensor)
1,0.000,0.000,0.000,0.000,/geode2/home/u015/baotruon/BigRed200/conda/envs/osomerank/lib/python3.8/site-packages/torch/cuda/_utils.py:9(_get_device_index)
